,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
141,-0.05375,0.04375,0.06375,-0.07375,-0.0625,0.04625,-0.01375,0.02625,0.03625,0.02375
142,-0.08125,0.075,0.13,-0.02625,0.04625,0.09375,0.02375,0.01625,0.005,0.0125
143,-0.09625,0.05375,0.09875,-0.04,0.01375,0.06375,-0.02375,-0.015,-0.08875,0.0125
144,-0.065,0.10125,0.0425,-0.04625,0.015,0.05625,0.01375,-0.0225,-0.0275,-0.055
145,-0.09,0.0925,0.025,-0.065,-0.05875,0.0425,0.015,-0.03,-0.00875,-0.02625
146,-0.03875,0.1225,0.0775,-0.05625,-0.155,0.10375,0.05,0.01375,-0.03875,-0.04375
147,-0.1,0.0625,0.09125,-0.01375,-0.05875,0.09375,0.095,0.03875,-0.05625,-0.01
148,-0.0375,0.0375,0.085,-0.06625,-0.07375,0.135,0.1125,0.06125,-0.09,-0.03125
149,0.0075,0.11125,0.08625,-0.05875,-0.08625,0.0325,0.105,0.12125,-0.095,0.01875
150,0.02875,0.10375,0.07,-0.0575,-0.04875,0.04625,0.10875,0.105,-0.18625,-0.02
151,0.0425,0.065,0.0975,-0.10125,-0.04125,0.0875,0.085,0.08875,-0.1825,0.06125
152,-0.00125,0.12875,0.03125,-0.06375,-0.0325,0.1175,0.05,0.10125,-0.18875,0.06375
153,0.02,0.10125,0.0675,-0.10375,-0.05,0.1225,0.0675,-0.00375,-0.17375,0.005
154,0.05375,0.07375,0.14875,-0.03125,-0.0025,0.12625,0.045,0.0025,-0.1,0.01375
155,0.03625,0.02875,0.10375,-0.04125,-0.0025,0.12875,0.0225,-0.01,-0.0625,-0.01625
156,0.05125,-0.00625,0.0725,-0.095,-0.0325,0.125,0.005,-0.03125,-0.05,0.065
157,0.05375,-0.01375,0.045,-0.06,-0.05375,0.13875,-0.0025,0.005,-0.02,0.11625
158,0.06125,0.05375,0.09,-0.055,-0.04,0.15,-0.055,0.025,-0.09125,0.06125
159,0.03,0.06125,0.1175,-0.00875,-0.07125,0.1175,-0.12125,0.0625,-0.07875,0.02875
160,0.02625,0.00375,0.0875,-0.005,-0.0375,0.12375,-0.13625,0.0725,-0.1025,-0.005
161,-0.00375,0.01875,0.11125,-0.0175,-0.03625,0.07125,-0.15,0.06625,-0.065,-0.005
162,-0.06,-0.00625,0.065,-0.095,-0.06625,0.0875,-0.17125,0.09375,0.01375,-0.02625
163,-0.0725,0.04625,0.08375,-0.13125,-0.0575,0.12,-0.1075,0.0725,0.03875,-0.06625
164,-0.0125,0.06,0.06625,-0.08375,-0.04125,0.10125,-0.125,0.07,0.0225,-0.09875
165,0.00875,0.075,0.05375,-0.0725,-0.08625,0.07375,-0.10375,0.04125,-0.02875,-0.01375
166,0.015,0.05,0.065,-0.08375,0.005,0.065,-0.03625,0.08875,-0.03875,-0.0825
167,0.0325,0.02875,0.0625,-0.07,-0.025,-0.00625,-0.02875,0.06125,-0.00125,-0.055
168,0.02625,-0.02625,0.05625,-0.02875,-0.02625,-0.03,-0.025,0.02125,-0.0225,-0.05
169,0.03875,0.0375,0.04625,-0.02625,-0.02625,-0.015,0.02875,-0.00625,-0.03,-0.0475
170,0.04625,-0.01875,0.00375,-0.0025,0.03875,0.0,0.03375,-0.08,0.0025,-0.0675
171,0.07625,0.005,0.01375,-0.03,0.0275,0.04,0.02375,0.01875,0.02875,-0.02375
172,0.00125,0.07875,0.02125,-0.04125,0.06875,0.00625,0.0025,-0.01875,-0.0025,0.0225
173,-0.0425,0.0925,0.01875,0.00625,0.0675,0.00375,-0.05625,-0.065,-0.035,0.04
174,-0.01375,0.09,0.0225,0.05,0.05875,0.015,-0.0775,-0.14,0.01125,-0.02375
175,-0.0175,0.085,0.06875,-0.01125,0.11875,0.01375,-0.12875,-0.03375,0.00375,-0.02625
176,0.02,0.1225,0.09375,-0.00125,0.12,-0.05125,-0.13,-0.0275,-0.0125,-0.0475
177,-0.00875,0.1225,0.05875,-0.0425,0.04,-0.06125,-0.09,-0.00125,-0.07125,0.01375
