,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
184,0.585,1.0,0.095,0.79,-1.0,1.0,-0.6125,-0.7275,-0.76875,-0.065
185,0.595,1.0,0.08625,0.795,-1.0,1.0,-0.61875,-0.72375,-0.785,-0.085
186,0.59875,1.0,0.08625,0.7975,-0.99875,1.0,-0.62875,-0.73,-0.79,-0.06625
187,0.60875,1.0,0.0825,0.7975,-1.0,1.0,-0.615,-0.73875,-0.805,-0.05375
188,0.62125,1.0,0.07875,0.8075,-1.0,1.0,-0.62125,-0.7375,-0.8075,-0.05375
189,0.61625,0.99875,0.08375,0.80375,-0.99875,1.0,-0.63125,-0.7575,-0.81125,-0.07125
190,0.615,1.0,0.0925,0.81625,-1.0,1.0,-0.63375,-0.77625,-0.815,-0.06375
191,0.625,1.0,0.09125,0.815,-1.0,1.0,-0.625,-0.78125,-0.825,-0.06375
192,0.62875,0.99875,0.08,0.80375,-0.99875,0.9975,-0.6425,-0.78625,-0.82875,-0.065
193,0.6325,0.9975,0.065,0.8025,-0.99875,0.99875,-0.65,-0.78375,-0.8275,-0.065
194,0.63,1.0,0.08,0.79625,-0.99875,0.9975,-0.65625,-0.78625,-0.8325,-0.065
195,0.6325,0.99875,0.08375,0.81375,-1.0,0.99875,-0.66,-0.7925,-0.8425,-0.0725
196,0.6375,0.99875,0.08375,0.81875,-1.0,0.99875,-0.64875,-0.8,-0.84875,-0.07125
197,0.6525,1.0,0.09375,0.84,-1.0,1.0,-0.6475,-0.8075,-0.85625,-0.07
198,0.66125,1.0,0.09125,0.84625,-0.99875,1.0,-0.65125,-0.81625,-0.85625,-0.07375
199,0.67,1.0,0.1025,0.85125,-1.0,1.0,-0.655,-0.8275,-0.86,-0.075
200,0.6675,1.0,0.1025,0.85,-1.0,1.0,-0.6525,-0.825,-0.86375,-0.075
201,0.6475,1.0,0.09625,0.85,-1.0,1.0,-0.65875,-0.83375,-0.8625,-0.07375
202,0.63625,1.0,0.09625,0.85625,-1.0,0.99875,-0.66625,-0.8375,-0.86125,-0.075
203,0.63625,0.99875,0.1025,0.85625,-0.99875,1.0,-0.6775,-0.8425,-0.8675,-0.0725
204,0.65875,1.0,0.10375,0.85625,-1.0,1.0,-0.6775,-0.83875,-0.87,-0.0725
205,0.66875,1.0,0.1025,0.86875,-1.0,1.0,-0.67125,-0.82625,-0.87375,-0.07875
206,0.6825,0.99875,0.1075,0.88375,-1.0,1.0,-0.6725,-0.82625,-0.87,-0.0775
207,0.68375,1.0,0.10625,0.88875,-1.0,1.0,-0.68875,-0.83375,-0.87375,-0.07
208,0.68,0.99875,0.09875,0.89875,-1.0,0.99875,-0.69375,-0.845,-0.88125,-0.06375
209,0.69375,1.0,0.0875,0.89375,-1.0,0.99875,-0.695,-0.84375,-0.88375,-0.065
210,0.68875,1.0,0.075,0.90625,-1.0,1.0,-0.70125,-0.84875,-0.8925,-0.06625
